TargetSize=1920 * 1080
TimeCountDown_1 = TargetSize:393*405; Pos:-763,333; OriginSize:105 * 108;
TimeCountDown_112 = TargetSize:262*303; Pos:-7,1; OriginSize:70 * 81;
TimeCountDown_113 = TargetSize:60*63; Pos:0,-1; OriginSize:16 * 17;
TimeCountDown_114 = TargetSize:1143*1076; Pos:-151,-1; OriginSize:305 * 287;
TimeCountDown_115 = TargetSize:90*442; Pos:-11,11; OriginSize:24 * 118;
TimeCountDown_116 = TargetSize:187*416; Pos:-7,-1; OriginSize:50 * 111;
TimeCountDown_117 = TargetSize:180*405; Pos:-7,0; OriginSize:48 * 108;
TimeCountDown_118 = TargetSize:172*390; Pos:-7,0; OriginSize:46 * 104;
TimeCountDown_119 = TargetSize:165*375; Pos:-7,0; OriginSize:44 * 100;
TimeCountDown_120 = TargetSize:165*367; Pos:-7,0; OriginSize:44 * 98;
TimeCountDown_121 = TargetSize:161*356; Pos:-5,1; OriginSize:43 * 95;
TimeCountDown_122 = TargetSize:157*348; Pos:-7,1; OriginSize:42 * 93;
TimeCountDown_123 = TargetSize:153*341; Pos:-5,1; OriginSize:41 * 91;
TimeCountDown_124 = TargetSize:153*330; Pos:-5,3; OriginSize:41 * 88;
TimeCountDown_125 = TargetSize:48*93; Pos:-1,1; OriginSize:13 * 25;
